Código del producto,Código del fabricante,Descripción del producto,Column1,Stock,
202.04,123420111,Placa LISS proximal de Tibia en titanio de 11 orificios izq.,Stock,37,
202.05,123420113,Placa LISS proximal de Tibia en titanio de 13 orificios izq.,Stock,1,
202.06,123420205,Placa LISS proximal de Tibia en titanio de 5 orificios der.,Stock,31,
202.07,123420207,Placa LISS proximal de Tibia en titanio de 7 orificios der.,Stock,17,
202.08,123420209,Placa LISS proximal de Tibia en titanio de 9 orificios der.,Stock,29,
202.09,123420211,Placa LISS proximal de Tibia en titanio de 11 orificios der.,Stock,46,
202.1,123420213,Placa LISS proximal de Tibia en titanio de 13 orificios der.,Stock,23,
203,Placa LCP proximal medial de Tibia en titanio y sus componentes,,Stock,21,
203.01,123247106,Placa LCP proximal medial de Tibia en titanio de 6 orificios izq.,Stock,2,
203.02,123247108,Placa LCP proximal medial de Tibia en titanio de 8 orificios izq.,Stock,2,
203.03,123247110,Placa LCP proximal medial de Tibia en titanio de 10 orificios izq.,Stock,6,
203.04,123247206,Placa LCP proximal medial de Tibia en titanio de 6 orificios der.,Stock,0,
203.05,123247208,Placa LCP proximal medial de Tibia en titanio de 8 orificios der.,Stock,4,
203.06,123247210,Placa LCP proximal medial de Tibia en titanio de 10 orificios der.,Stock,7,
204,Placa bloqueada de Cadera en titanio y sus componentes,,Stock,60,
204.01,123228304,Placa bloqueada de Cadera en titanio de 4 orificios izq.,Stock,2,
204.02,123228306,Placa bloqueada de Cadera en titanio de 6 orificios izq.,Stock,11,
204.03,123228308,Placa bloqueada de Cadera en titanio de 8 orificios izq.,Stock,3,
204.04,123228509,Placa bloqueada de Cadera en titanio de 9 orificios izq.,Stock,4,
204.05,123228310,Placa bloqueada de Cadera en titanio de 10 orificios izq.,Stock,3,
204.06,123228312,Placa bloqueada de Cadera en titanio de 12 orificios izq.,Stock,2,
204.07,123228404,Placa bloqueada de Cadera en titanio de 4 orificios der.,Stock,16,
204.08,123228406,Placa bloqueada de Cadera en titanio de 6 orificios der.,Stock,8,
204.09,123228408,Placa bloqueada de Cadera en titanio de 8 orificios der.,Stock,0,
204.1,123228609,Placa bloqueada de Cadera en titanio de 9 orificios der.,Stock,3,
204.11,123228410,Placa bloqueada de Cadera en titanio de 10 orificios der.,Stock,4,
